stopplacecode,stopplacetype,validfrom,publicname,street,town,stopplaceindication,stopplacestatus,quaycode,quayname,quaytype,quaystatus,rd-x,rd-y,level,location,visuallyaccessible,disabledaccessible-tram,disabledaccessible-bus,disabledaccessible-metro,disabledaccessible-ferry,quayshapetype,baylength,embaymentwidth,bayentranceangles,bayexitangles,markedkerb,lift,guidelines,groundsurfaceindicator,tactilegroundsurfaceindicator,stopplaceaccessroute,kerbheight,boardingpositionwidth,alightingpositionwidth,liftedpartlength,narrowestpassagewidth,fulllengthguideline,guidelinestopplaceconnection,ramp,ramplength,rampwidth,heightwithenvironment,stopsign,audiobutton,stopsigntype,shelter,shelterpublicity,illuminatedstop,seatavailable,leantosupport,timetableinformation,infounit,routenetworkmap,passengerinformationdisplay,passengerinformationdisplaytype,bicycleparking,numberofbicycleplaces,bins,ovccico,ovccharging,remarks,mutationdate,stopplace_mutationdate,quay_mutationdate
NL:S:31008110,metroStation,2018-01-01T12:00:00Z,Hesseplaats,"Pearl Buckplaats",Rotterdam,,adapted,NL:Q:31008110,Hesseplaats,regular,available,97690,441968,0,"Pearl Buckplaats",Y,,,Y,,langshalte,92.00,,,,true,false,true,true,true,false,1.30,3.00,3.00,92.00,1.00,true,true,true,16.00,1.00,0.00,true,false,L03,false,false,false,false,false,true,false,true,true,3,false,,true,true,true,"Niet gemeten",2018-01-08T15:03:30Z,2015-05-03T22:09:03Z,2018-01-08T15:03:30Z
NL:S:31008110,metroStation,2018-01-01T12:00:00Z,Hesseplaats,"Pearl Buckplaats",Rotterdam,,adapted,NL:Q:31008111,Hesseplaats,regular,available,97688,441976,0,"Pearl Buckplaats",Y,,,Y,,langshalte,92.00,,,,true,false,true,true,true,false,1.30,3.00,3.00,92.00,1.00,true,true,true,16.00,1.00,0.00,true,false,L03,false,false,false,false,false,true,false,true,true,3,false,,true,true,true,"Niet gemeten",2018-01-08T15:03:30Z,2015-05-03T22:09:03Z,2018-01-08T15:03:30Z
NL:S:31008124,metroStation,2018-11-15T01:00:00Z,"Kralingse Zoom","Kralingse Zoom",Rotterdam,,adapted,NL:Q:31008124,"Kralingse Zoom",regular,available,96299,437334,0,,Y,,,Y,,langshalte,92.00,,,,true,false,true,true,true,false,1.30,3.00,3.00,92.00,1.00,true,true,true,16.00,1.00,0.00,true,false,L03,false,false,false,false,false,false,false,false,false,0,false,,true,true,true,"Niet gemeten",2018-11-20T10:14:20Z,2015-05-03T22:09:03Z,2018-11-20T10:14:19Z
NL:S:31008124,metroStation,2018-01-01T12:00:00Z,"Kralingse Zoom","Kralingse Zoom",Rotterdam,,adapted,NL:Q:31008126,"Kralingse Zoom",regular,available,96299,437334,0,"Kralingse Zoom",Y,,,Y,,langshalte,92.00,,,,true,true,true,true,true,false,1.30,3.00,3.00,92.00,1.00,true,true,true,16.00,1.00,0.00,true,false,L03,false,false,false,false,false,true,false,true,true,3,false,,true,true,true,"Niet gemeten",2018-01-08T15:03:32Z,2015-05-03T22:09:03Z,2018-01-08T15:03:32Z
NL:S:31008124,metroStation,2018-01-01T12:00:00Z,"Kralingse Zoom","Kralingse Zoom",Rotterdam,,adapted,NL:Q:31008127,"Kralingse Zoom",regular,available,96299,437334,0,"Kralingse Zoom",Y,,,Y,,langshalte,92.00,,,,true,true,true,true,true,false,1.30,3.00,3.00,92.00,1.00,true,true,true,16.00,1.00,0.00,true,false,L03,false,false,false,false,false,true,false,true,true,3,false,,true,true,true,"Niet gemeten",2018-01-08T15:03:33Z,2015-05-03T22:09:03Z,2018-01-08T15:03:33Z
NL:S:31008124,metroStation,2018-01-01T12:00:00Z,"Kralingse Zoom","Kralingse Zoom",Rotterdam,,adapted,NL:Q:31008129,"Kralingse Zoom",regular,available,96302,437340,0,"Kralingse Zoom",Y,,,Y,,langshalte,92.00,,,,true,true,true,true,true,false,1.30,3.00,3.00,92.00,1.00,true,true,true,16.00,1.00,0.00,true,false,L03,false,false,false,false,false,true,false,true,true,3,false,,true,true,true,"Niet gemeten",2018-01-08T15:03:33Z,2015-05-03T22:09:03Z,2018-01-08T15:03:33Z
NL:S:31008128,metroStation,2018-01-01T12:00:00Z,Voorschoterlaan,Vredehofstraat,Rotterdam,,adapted,NL:Q:31008128,Voorschoterlaan,regular,available,94863,437755,0,Vredehofstraat,Y,,,Y,,langshalte,92.00,,,,true,true,true,true,true,false,1.30,3.00,3.00,92.00,1.00,true,true,true,16.00,1.00,0.00,true,false,L03,false,false,false,false,false,true,false,true,true,3,false,,true,true,true,"Niet gemeten",2018-01-08T15:03:33Z,2015-05-03T22:09:03Z,2018-01-08T15:03:33Z
NL:S:31008128,metroStation,2018-01-01T12:00:00Z,Voorschoterlaan,Vredehofstraat,Rotterdam,,adapted,NL:Q:31008131,Voorschoterlaan,regular,available,94862,437760,0,Vredehofstraat,Y,,,Y,,langshalte,92.00,,,,true,true,true,true,true,false,1.30,3.00,3.00,92.00,1.00,true,true,true,16.00,1.00,0.00,true,false,L03,false,false,false,false,false,true,false,true,true,3,false,,true,true,true,"Niet gemeten",2018-01-08T15:03:33Z,2015-05-03T22:09:03Z,2018-01-08T15:03:33Z
NL:S:31008148,metroStation,2018-01-01T12:00:00Z,Marconiplein,Marconiplein,Rotterdam,,adapted,NL:Q:31008148,Marconiplein,regular,available,89327,436519,0,Marconiplein,Y,,,Y,,langshalte,92.00,,,,true,true,true,true,true,false,1.30,3.00,3.00,92.00,1.00,true,true,true,16.00,1.00,0.00,true,false,L03,false,false,false,false,false,true,false,true,true,3,false,,true,true,true,"Niet gemeten",2018-01-08T15:03:36Z,2015-05-03T22:09:03Z,2018-01-08T15:03:36Z
NL:S:31008148,metroStation,2018-01-01T12:00:00Z,Marconiplein,Marconiplein,Rotterdam,,adapted,NL:Q:31008149,Marconiplein,regular,available,89331,436524,0,Marconiplein,Y,,,Y,,langshalte,92.00,,,,true,true,true,true,true,false,1.30,3.00,3.00,92.00,1.00,true,true,true,16.00,1.00,0.00,true,false,L03,false,false,false,false,false,true,false,true,true,3,false,,true,true,true,"Niet gemeten",2018-01-08T15:03:36Z,2015-05-03T22:09:03Z,2018-01-08T15:03:36Z
