stopplacecode,stopplacetype,validfrom,publicname,street,town,stopplaceindication,stopplacestatus,quaycode,quayname,quaytype,quaystatus,rd-x,rd-y,level,location,visuallyaccessible,disabledaccessible-tram,disabledaccessible-bus,disabledaccessible-metro,disabledaccessible-ferry,quayshapetype,baylength,embaymentwidth,bayentranceangles,bayexitangles,markedkerb,lift,guidelines,groundsurfaceindicator,tactilegroundsurfaceindicator,stopplaceaccessroute,kerbheight,boardingpositionwidth,alightingpositionwidth,liftedpartlength,narrowestpassagewidth,fulllengthguideline,guidelinestopplaceconnection,ramp,ramplength,rampwidth,heightwithenvironment,stopsign,audiobutton,stopsigntype,shelter,shelterpublicity,illuminatedstop,seatavailable,leantosupport,timetableinformation,infounit,routenetworkmap,passengerinformationdisplay,passengerinformationdisplaytype,bicycleparking,numberofbicycleplaces,bins,ovccico,ovccharging,remarks,mutationdate,stopplace_mutationdate,quay_mutationdate
NL:S:58655000,busStation,2018-11-15T01:00:00Z,"Station Centrum",Busplein,"Almere stad",,adapted,NL:Q:58655200,"Station Centrum",regular,available,143476,487462,0,,N,,Y,,,langshalte,21.50,,,,false,false,false,false,false,true,0.18,5.40,5.40,21.50,3.60,false,false,true,2.50,3.00,0.00,true,true,,false,false,true,false,false,false,false,false,true,2,false,,false,false,false,"buiten gebruik",2018-11-20T09:55:07Z,2015-05-03T22:10:12Z,2018-11-20T09:55:07Z
NL:S:58655000,busStation,2014-08-06T13:40:00Z,"Station Centrum",Busplein,"Almere Stad",,adapted,NL:Q:58655110,"Station Centrum",regular,available,143453,487489,0,,N,,Y,,,langshalte,18.20,,,,false,false,false,false,false,true,0.18,4.40,4.40,18.20,2.20,false,false,false,,,0.00,true,true,,true,false,true,true,,true,false,true,true,2,false,,true,false,false,,2015-05-04T14:29:01Z,2015-05-03T22:10:12Z,2015-05-03T23:51:03Z
NL:S:58655000,busStation,2014-08-06T12:11:00Z,"Station Centrum","OPENBAAR VERVOERBAAN","Almere Stad",,adapted,NL:Q:58655050,"Station Centrum",regular,available,143496,487530,0,,N,,Y,,,langshalte,23.70,,,,false,false,false,false,false,true,0.18,9.70,9.70,23.70,2.20,false,false,false,,,0.00,true,true,,true,true,true,true,,true,false,true,true,2,false,,true,false,false,,2015-05-04T14:29:00Z,2015-05-03T22:10:12Z,2015-05-03T23:51:02Z
NL:S:58655000,busStation,2014-08-06T11:47:00Z,"Station Centrum",Busplein,"Almere stad",,adapted,NL:Q:58655210,"Station Centrum",regular,available,143470,487484,0,,Y,,Y,,,langshalte,19.70,,,,false,false,true,true,true,true,0.18,9.00,9.00,19.70,3.50,false,true,true,2.50,3.00,0.00,true,true,,true,true,true,true,,true,false,true,true,2,false,,true,false,false,"buiten gebruik",2015-05-04T14:29:01Z,2015-05-03T22:10:12Z,2015-05-03T23:51:04Z
NL:S:58655000,busStation,2014-08-06T14:01:00Z,"Station Centrum","OPENBAAR VERVOERBAAN","Almere Stad",,adapted,NL:Q:58655120,"Station Centrum",regular,available,143458,487537,0,,Y,,Y,,,langshalte,21.70,,,,false,false,false,true,true,true,0.18,4.50,4.50,21.70,1.70,false,false,true,2.50,3.00,0.00,true,true,,true,true,true,true,,true,false,true,true,2,false,,true,false,false,,2015-05-04T14:28:59Z,2015-05-03T22:10:12Z,2015-05-03T23:51:03Z
NL:S:58655000,busStation,2014-08-06T11:20:00Z,"Station Centrum","OPENBAAR VERVOERBAAN","Almere Stad",,adapted,NL:Q:58655060,"Station Centrum",regular,available,143487,487431,0,,Y,,Y,,,langshalte,20.80,,,,false,false,true,true,true,true,0.18,7.20,7.20,20.80,2.20,false,true,true,2.50,3.00,0.00,true,true,,true,true,true,true,,true,false,true,true,2,false,,true,false,false,,2015-05-04T14:29:00Z,2015-05-03T22:10:12Z,2015-05-03T23:51:02Z
NL:S:58655000,busStation,2014-08-06T13:05:00Z,"Station Centrum","OPENBAAR VERVOERBAAN","Almere Stad",,adapted,NL:Q:58655130,"Station Centrum",regular,available,143503,487446,0,,N,,Y,,,langshalte,21.50,,,,false,false,false,false,false,true,0.18,4.90,4.90,21.50,3.60,false,false,true,2.50,3.00,0.00,true,true,,true,true,true,true,,false,false,false,true,2,false,,true,false,false,"buiten gebruik",2015-05-04T14:29:01Z,2015-05-03T22:10:12Z,2015-05-03T23:51:03Z
NL:S:58655000,busStation,2014-08-06T13:28:00Z,"Station Centrum",Schoutstraat,"Almere Stad",,adapted,NL:Q:58655070,"Station Centrum",regular,available,143459,487444,0,,Y,,Y,,,langshalte,18.40,,,,false,false,false,true,true,true,0.18,11.30,11.30,18.40,2.00,false,false,true,2.50,3.00,0.00,true,true,,true,false,true,true,,true,false,true,true,2,false,,true,false,false,,2015-05-04T14:29:00Z,2015-05-03T22:10:12Z,2015-05-03T23:51:03Z
NL:S:58655000,busStation,2014-08-06T12:28:00Z,"Station Centrum","OPENBAAR VERVOERBAAN","Almere Stad",,adapted,NL:Q:58655010,"Station Centrum",regular,available,143502,487505,0,,Y,,Y,,,langshalte,20.60,,,,false,false,true,true,true,true,0.18,11.60,11.60,20.60,2.90,false,true,true,2.50,3.00,0.00,true,true,,true,true,true,true,,true,false,true,true,2,false,,true,false,false,,2015-05-04T14:29:00Z,2015-05-03T22:10:12Z,2015-05-03T23:51:02Z
NL:S:58655000,busStation,2014-08-06T12:42:00Z,"Station Centrum","OPENBAAR VERVOERBAAN","Almere Stad",,adapted,NL:Q:58655140,"Station Centrum",regular,available,143503,487490,0,,Y,,Y,,,langshalte,19.00,,,,false,false,true,true,true,true,0.18,11.10,11.10,19.00,2.80,true,true,true,2.50,3.00,0.00,true,true,,true,false,true,true,,true,false,true,true,2,false,,true,false,false,,2015-05-04T14:29:01Z,2015-05-03T22:10:12Z,2015-05-03T23:51:03Z
